time, seqN
0.116707,4
0.116707,5
0.126707,6
0.136707,7
0.167053,4
0.197466,9
0.197466,10
0.228454,7
0.248579,9
0.268669,11
0.268669,12
0.268789,11
0.278669,13
0.288669,14
0.320112,15
0.320112,16
0.330112,17
0.330697,13
0.340315,18
0.452498,20
0.452498,21
0.462498,22
0.472498,23
0.482767,24
0.482767,25
0.492767,26
0.502767,27
0.533249,28
0.533249,29
0.543249,30
0.553249,31
0.604285,33
0.604285,34
0.614285,35
0.624285,36
0.66483,37
0.66483,38
0.67483,39
0.68483,40
0.746187,42
0.746187,43
0.756187,44
0.766187,45
0.807065,46
0.807065,47
0.817065,48
0.827065,49
0.868784,50
0.868784,51
0.878784,52
0.888784,53
0.929486,54
0.929486,55
0.939486,56
0.949486,57
1.00084,59
1.00084,60
1.01084,61
1.02084,62
1.0626,63
1.0626,64
1.06291,39
1.0726,66
1.0826,67
1.08561,40
1.16334,68
1.16334,69
1.17334,70
1.18334,71
1.22393,72
1.22393,73
1.23393,74
1.24393,75
1.28559,76
1.28559,77
1.29559,78
1.30559,79
1.35697,81
1.35697,82
1.36697,84
1.37697,85
1.43824,86
1.43824,87
1.44824,88
1.45824,89
1.49923,90
1.49923,91
1.50923,92
1.51923,93
1.56083,94
1.56083,95
1.57083,96
1.58083,97
1.62219,98
1.62219,99
1.63219,100
1.64219,101
1.68249,102
1.68249,103
1.69249,105
1.70249,106
1.75371,108
1.75371,109
1.76371,110
1.77371,111
1.81609,112
1.81609,113
1.82609,114
1.83609,115
1.87726,116
1.87726,117
1.87806,69
1.88726,118
1.89726,119
1.90029,70
1.97966,120
1.97966,121
1.98966,123
1.99966,124
2.04144,125
2.04144,126
2.05144,127
2.06144,128
2.12264,130
2.12264,131
2.13264,132
2.14269,133
2.19373,134
2.19373,135
2.20373,136
2.21373,137
2.25447,138
2.25447,139
2.26447,140
2.27447,141
2.31602,142
2.31602,143
2.32602,145
2.33602,146
2.37789,147
2.37789,148
2.38789,149
2.39789,150
2.44933,152
2.44933,153
2.45933,154
2.46933,155
2.51092,156
2.51092,157
2.52092,158
2.53092,159
2.57265,160
2.57265,161
2.57275,95
2.58265,162
2.59265,163
2.5941,96
2.67428,165
2.67428,166
2.68428,167
2.69428,168
2.75482,169
2.75482,170
2.76482,171
2.77482,172
2.81673,173
2.81673,174
2.82673,175
2.83673,176
2.88761,178
2.88761,179
2.89761,180
2.90761,181
2.95008,182
2.95008,183
2.96008,185
2.97008,186
3.01125,187
3.01125,188
3.02125,189
3.03125,190
3.07256,191
3.07256,192
3.08256,193
3.09256,194
3.13356,195
3.13356,196
3.14356,197
3.15356,198
3.20588,200
3.20588,201
3.21588,202
3.22588,203
3.26639,204
3.26639,205
3.27639,206
3.28639,207
3.32759,209
3.32759,210
3.33759,211
3.34759,212
3.40871,213
3.40871,214
3.40899,126
3.41185,127
3.41871,215
3.42871,216
3.53036,217
3.53036,218
3.54036,219
3.55036,220
3.77646,221
3.78646,223
3.79646,224
4.06647,133
4.08647,225
4.13855,135
4.15855,226
4.16855,227
4.17855,228
4.62246,137
4.65328,139
4.67328,229
4.7041,230
4.7141,231
4.7241,232
4.72477,233
4.74544,234
4.75544,236
4.76544,237
4.80699,238
4.80719,145
4.8272,239
4.8372,240
4.83732,147
4.8472,241
4.8876,242
4.8976,243
4.9076,244
4.90788,245
4.94845,246
4.95845,247
4.96845,248
4.96907,249
4.98954,250
4.99954,252
5.00954,253
5.00964,254
5.02988,255
5.03988,256
5.04988,257
5.05034,258
5.10129,259
5.11129,260
5.14207,261
5.18226,262
5.19226,263
5.39157,265
5.40157,266
5.45263,268
5.46263,269
5.51423,270
5.52423,271
5.53488,272
5.57601,273
5.58601,274
5.65712,275
5.66712,276
5.74955,277
5.75955,278
5.82084,280
5.83084,281
5.8827,282
5.8927,283
5.94347,284
5.95347,285
6.01434,286
6.02434,287
6.0746,288
6.0846,289
6.13628,290
6.14628,291
6.21757,293
6.22757,294
6.27913,295
6.28913,296
6.34039,297
6.35039,298
6.40158,299
6.41158,300
6.46308,301
6.47308,302
6.51626,201
6.5164,202
6.52557,304
6.53557,305
6.628,306
6.638,307
6.70942,308
6.71942,309
6.7722,311
6.7822,312
6.83331,313
6.84331,314
6.85402,315
6.89413,316
6.90413,317
6.95496,318
6.96496,319
7.03601,320
7.04601,321
7.0972,323
7.1072,324
7.15805,325
7.16805,326
7.21937,327
7.22937,328
7.28086,329
7.29086,330
7.34271,331
7.35271,332
7.42486,334
7.43486,335
7.48584,336
7.49584,337
7.54696,338
7.55696,339
7.60828,340
7.61828,341
7.67019,342
7.68019,343
7.75261,345
7.76261,346
7.81395,347
7.82395,348
7.87506,349
7.88506,350
7.95622,351
7.96622,352
8.01776,353
8.02776,354
8.0788,356
8.0888,357
8.09972,358
8.14003,359
8.15003,360
8.20165,361
8.21165,362
8.28362,363
8.29362,364
8.34456,365
8.35456,366
8.40596,368
8.41596,369
8.46718,370
8.47718,371
8.52792,372
8.53792,373
8.61023,374
8.62023,375
8.67147,376
8.68147,377
8.73452,379
8.74452,380
8.79562,381
8.80562,382
8.85682,383
8.86682,384
8.93792,385
8.94792,386
8.99873,387
9.00873,388
9.05952,390
9.06952,391
9.12066,392
9.13066,393
9.18312,394
9.19312,395
9.2652,396
9.2752,397
9.32691,398
9.33691,399
9.34754,400
9.38871,402
9.39871,403
9.44934,404
9.45934,405
9.51085,406
9.52085,407
9.59316,408
9.60316,409
9.65442,410
9.66442,411
9.71569,413
9.72569,414
9.77698,415
9.78698,416
9.83798,417
9.84798,418
9.91925,419
9.92925,420
9.98034,421
9.99034,422
10.0422,424
10.0522,425
10.1029,426
10.1129,427
10.1634,428
10.1734,429
10.2452,430
10.2552,431
10.3066,432
10.3166,433
10.3681,435
10.3781,436
10.4292,437
10.4392,438
10.4906,439
10.5006,440
10.5625,441
10.5725,442
10.5825,443
10.6342,444
10.6442,445
10.6957,447
10.7057,448
10.7563,449
10.7663,450
10.818,451
10.828,452
10.8996,453
10.9096,454
10.9605,455
10.9705,456
11.022,458
11.032,459
11.083,460
11.093,461
11.1442,462
11.1542,463
11.2267,464
11.2367,465
11.2874,466
11.2974,467
11.3494,469
11.3594,470
11.4101,471
11.4201,472
11.4713,473
11.4813,474
11.5527,475
11.5627,476
11.6139,477
11.6239,478
11.6753,480
11.6853,481
11.7375,482
11.7475,483
11.7576,484
11.7986,485
11.8086,486
11.88,487
11.89,488
11.9416,489
11.9516,490
12.0033,492
12.0133,493
12.0647,494
12.0747,495
12.1254,496
12.1354,497
12.2073,498
12.2173,499
12.2682,500
12.2782,501
12.3295,503
12.3395,504
12.3906,505
12.4006,506
12.4533,507
12.4633,508
12.5352,509
12.5452,510
12.5963,511
12.6063,512
12.658,514
12.668,515
12.7198,516
12.7298,517
12.7807,518
12.7907,519
12.8638,520
12.8738,521
12.9253,522
12.9353,523
12.9863,525
12.9963,526
13.0072,527
13.0473,528
13.0573,529
13.1082,530
13.1182,531
13.1899,532
13.1999,533
13.251,534
13.261,535
13.3116,537
13.3216,538
13.3736,539
13.3836,540
13.4355,541
13.4455,542
13.5167,543
13.5267,544
13.5795,545
13.5895,546
13.6415,548
13.6515,549
13.7023,550
13.7123,551
13.7635,552
13.7735,553
13.844,554
13.854,555
13.9058,556
13.9158,557
13.9677,559
13.9777,560
14.0287,561
14.0387,562
14.0913,563
14.1013,564
14.1727,565
14.1827,566
14.2342,567
14.2442,568
14.2555,569
14.296,571
14.306,572
14.3567,573
14.3667,574
14.4172,575
14.4272,576
14.4994,577
14.5094,578
14.5597,579
14.5697,580
14.6205,582
14.6305,583
14.6819,584
14.6919,585
14.7433,586
14.7533,587
14.8247,588
14.8347,589
14.8863,590
14.8963,591
14.9474,593
14.9574,594
15.0095,595
15.0195,596
15.0707,597
15.0807,598
15.152,599
15.162,600
15.2131,601
15.2231,602
15.2742,604
15.2842,605
15.3348,606
15.3448,607
15.3962,608
15.4062,609
15.4675,610
15.4775,611
15.4875,612
15.5387,613
15.5487,614
15.6,616
15.61,617
15.6608,618
15.6708,619
15.7215,620
15.7315,621
15.8033,622
15.8133,623
15.8642,624
15.8742,625
15.9257,627
15.9357,628
15.9866,629
15.9966,630
16.048,631
16.058,632
16.129,633
16.139,634
16.1899,635
16.1999,636
16.2513,638
16.2613,639
16.3129,640
16.3229,641
16.3748,642
16.3848,643
16.4567,644
16.4667,645
16.5182,646
16.5282,647
16.5798,649
16.5898,650
16.6405,651
16.6505,652
16.6611,653
16.7015,654
16.7115,655
16.7837,656
16.7937,657
16.8459,658
16.8559,659
16.9066,661
16.9166,662
16.9677,663
16.9777,664
17.0306,665
17.0406,666
17.1118,667
17.1218,668
17.172,669
17.182,670
17.2332,672
17.2432,673
17.2944,674
17.3044,675
17.3552,676
17.3652,677
17.437,678
17.447,679
17.4979,680
17.5079,681
17.5589,683
17.5689,684
17.6193,685
17.6293,686
17.6805,687
17.6905,688
17.7627,689
17.7727,690
17.8245,691
17.8345,692
17.8866,694
17.8966,695
17.907,696
17.9478,697
17.9578,698
18.009,699
18.019,700
18.0904,701
18.1004,702
18.152,703
18.162,704
18.214,706
18.224,707
18.2761,708
18.2861,709
18.3375,710
18.3475,711
18.4192,712
18.4292,713
18.4806,714
18.4906,715
18.5428,717
18.5528,718
18.6032,719
18.6132,720
18.6656,721
18.6756,722
18.748,723
18.758,724
18.8096,725
18.8196,726
18.8712,728
18.8812,729
18.9329,730
18.9429,731
18.994,732
19.004,733
19.0763,734
19.0863,735
19.1382,736
19.1482,737
19.1589,738
19.2004,740
19.2104,741
19.2611,742
19.2711,743
19.3225,744
19.3325,745
19.404,746
19.414,747
19.4653,748
19.4753,749
19.5256,751
19.5356,752
19.5874,753
19.5974,754
19.6481,755
19.6581,756
19.7302,757
19.7402,758
19.7905,759
19.8005,760
19.8516,762
19.8616,763
19.9129,764
19.9229,765
19.9743,766
19.9843,767
20.0552,768
20.0652,769
20.1169,770
20.1269,771
20.1781,773
20.1881,774
20.2389,775
20.2489,776
20.3005,777
20.3105,778
20.3721,779
20.3821,780
20.3921,781
20.4434,782
20.4534,783
20.5043,785
20.5143,786
20.5658,787
20.5758,788
20.6271,789
20.6371,790
20.709,791
20.719,792
20.7699,793
20.7799,794
20.8314,796
20.8414,797
20.8935,798
20.9035,799
20.9552,800
20.9652,801
21.0368,802
21.0468,803
21.0978,804
21.1078,805
21.1594,807
21.1694,808
21.2203,809
21.2303,810
21.2811,811
21.2911,812
21.3621,813
21.3721,814
21.4232,815
21.4332,816
21.4848,818
21.4948,819
21.5461,820
21.5561,821
21.5666,822
21.6072,823
21.6172,824
21.6888,825
21.6988,826
21.7498,827
21.7598,828
21.8118,830
21.8218,831
21.8724,832
21.8824,833
21.933,834
21.943,835
22.0149,836
22.0249,837
22.0766,838
22.0866,839
22.138,841
22.148,842
22.1988,843
22.2088,844
22.2599,845
22.2699,846
22.342,847
22.352,848
22.403,849
22.413,850
22.4649,852
22.4749,853
22.5267,854
22.5367,855
22.5875,856
22.5975,857
22.6694,858
22.6794,859
22.7307,860
22.7407,861
22.7919,863
22.8019,864
22.8133,865
22.8534,866
22.8634,867
22.9148,868
22.9248,869
22.9964,870
23.0064,871
23.0578,872
23.0678,873
23.1192,875
23.1292,876
23.1804,877
23.1904,878
23.2428,879
23.2528,880
23.3255,881
23.3355,882
23.3873,883
23.3973,884
23.4493,886
23.4593,887
23.511,888
23.521,889
23.572,890
23.582,891
23.6538,892
23.6638,893
23.715,894
23.725,895
23.7775,897
23.7875,898
23.8385,899
23.8485,900
23.8998,901
23.9098,902
23.9812,903
23.9912,904
24.0422,905
24.0522,906
24.0625,907
24.1029,909
24.1129,910
24.165,911
24.175,912
24.2264,913
24.2364,914
24.309,915
24.319,916
24.3712,917
24.3812,918
24.4326,920
24.4426,921
24.4949,922
24.5049,923
24.5562,924
24.5662,925
24.6388,926
24.6488,927
24.7001,928
24.7101,929
24.7607,931
24.7707,932
24.8221,933
24.8321,934
24.8838,935
24.8938,936
24.9648,937
24.9748,938
25.0267,939
25.0367,940
25.0876,942
25.0976,943
25.1485,944
25.1585,945
25.2102,946
25.2202,947
25.2816,948
25.2916,949
25.3016,950
25.3526,951
25.3626,952
25.4136,954
25.4236,955
25.4744,956
25.4844,957
25.5359,958
25.5459,959
25.6179,960
25.6279,961
25.68,962
25.69,963
25.7412,965
25.7512,966
25.8026,967
25.8126,968
25.864,969
25.874,970
25.9455,971
25.9555,972
26.0068,973
26.0168,974
26.0684,976
26.0784,977
26.1298,978
26.1398,979
26.1915,980
26.2015,981
26.2736,982
26.2836,983
26.3354,984
26.3454,985
26.3967,987
26.4067,988
26.4579,989
26.4679,990
26.4785,991
26.5191,992
26.5291,993
26.601,994
26.611,995
26.6614,996
26.6714,997
26.723,999
26.733,1000
26.7847,1001
26.7947,1002
26.8461,1003
26.8561,1004
26.928,1005
26.938,1006
26.99,1007
27,1008
27.0507,1010
27.0607,1011
27.1112,1012
27.1212,1013
27.1719,1014
27.1819,1015
27.2534,1016
27.2634,1017
27.3149,1018
27.3249,1019
27.376,1021
27.386,1022
27.438,1023
27.448,1024
27.4992,1025
27.5092,1026
27.5814,1027
27.5914,1028
27.6431,1029
27.6531,1030
27.7047,1032
27.7147,1033
27.7259,1034
27.767,1035
27.777,1036
27.8283,1037
27.8383,1038
27.9106,1039
27.9206,1040
27.9716,1041
27.9816,1042
28.0322,1044
28.0422,1045
28.0939,1046
28.1039,1047
28.155,1048
28.165,1049
28.2361,1050
28.2461,1051
28.2985,1052
28.3085,1053
28.3598,1055
28.3698,1056
28.4216,1057
28.4316,1058
28.4833,1059
28.4933,1060
28.5656,1061
28.5756,1062
28.6265,1063
28.6365,1064
28.6884,1066
28.6984,1067
28.75,1068
28.76,1069
28.8114,1070
28.8214,1071
28.893,1072
28.903,1073
28.9539,1074
28.9639,1075
28.9748,1076
29.0161,1078
29.0261,1079
29.0764,1080
29.0864,1081
29.1368,1082
29.1468,1083
29.2184,1084
29.2284,1085
29.28,1086
29.29,1087
29.3424,1089
29.3524,1090
29.4033,1091
29.4133,1092
29.4652,1093
29.4752,1094
29.5474,1095
29.5574,1096
29.6087,1097
29.6187,1098
29.6702,1100
29.6802,1101
29.731,1102
29.741,1103
29.7928,1104
29.8028,1105
29.8748,1106
29.8848,1107
29.9357,1108
29.9457,1109
29.9965,1111
30.0065,1112
